Source,CH1,CH2
Second,Volt,Volt
-0.00006448000,3.20000,3.20000
-0.00006447000,3.20000,3.24000
-0.00006446000,3.20000,3.28000
-0.00006445000,3.20000,3.24000
-0.00006444000,3.20000,3.24000
-0.00006443000,3.16000,3.24000
-0.00006442000,3.20000,3.24000
-0.00006441000,3.20000,3.20000
-0.00006440000,3.20000,3.20000
-0.00006439000,3.20000,3.24000
-0.00006438000,3.20000,3.28000
-0.00006437000,3.20000,3.24000
-0.00006436000,3.16000,3.28000
-0.00006435000,3.20000,3.28000
-0.00006434000,3.20000,3.28000
-0.00006433000,3.20000,3.24000
-0.00006432000,3.16000,3.20000
-0.00006431000,3.16000,3.20000
-0.00006430000,3.20000,3.24000
-0.00006429000,3.20000,3.24000
-0.00006428000,3.20000,3.28000
-0.00006427000,3.20000,3.28000
-0.00006426000,3.16000,3.28000
-0.00006425000,3.20000,3.24000
-0.00006424000,3.16000,3.20000
-0.00006423000,3.20000,3.20000
-0.00006422000,3.20000,3.20000
-0.00006421000,3.20000,3.20000
-0.00006420000,3.20000,3.24000
-0.00006419000,3.16000,3.28000
-0.00006418000,3.20000,3.28000
-0.00006417000,3.20000,3.28000
-0.00006416000,3.20000,3.24000
-0.00006415000,3.20000,3.28000
-0.00006414000,3.20000,3.20000
-0.00006413000,3.20000,3.20000
-0.00006412000,3.20000,3.20000
-0.00006411000,3.20000,3.20000
-0.00006410000,3.20000,3.28000
-0.00006409000,3.20000,3.28000
-0.00006408000,3.20000,3.24000
-0.00006407000,3.20000,3.20000
-0.00006406000,3.16000,3.20000
-0.00006405000,3.24000,3.20000
-0.00006404000,3.20000,3.20000
-0.00006403000,3.24000,3.24000
-0.00006402000,3.20000,3.28000
-0.00006401000,3.20000,3.28000
-0.00006400000,3.16000,3.28000
-0.00006399000,3.20000,3.24000
-0.00006398000,3.20000,3.20000
-0.00006397000,3.20000,3.20000
-0.00006396000,3.20000,3.20000
-0.00006395000,3.24000,3.20000
-0.00006394000,3.16000,3.20000
-0.00006393000,3.20000,3.28000
-0.00006392000,3.16000,3.28000
-0.00006391000,3.20000,3.28000
-0.00006390000,3.16000,3.24000
-0.00006389000,3.20000,3.20000
-0.00006388000,3.20000,3.20000
-0.00006387000,3.16000,3.20000
-0.00006386000,3.20000,3.20000
-0.00006385000,3.20000,3.24000
-0.00006384000,3.20000,3.24000
-0.00006383000,3.20000,3.28000
-0.00006382000,3.20000,3.24000
-0.00006381000,3.16000,3.20000
-0.00006380000,3.20000,3.20000
-0.00006379000,3.20000,3.20000
-0.00006378000,3.20000,3.20000
-0.00006377000,3.20000,3.24000
-0.00006376000,3.20000,3.24000
-0.00006375000,3.16000,3.28000
-0.00006374000,3.20000,3.28000
-0.00006373000,3.16000,3.24000
-0.00006372000,3.20000,3.20000
-0.00006371000,3.20000,3.20000
-0.00006370000,3.24000,3.20000
-0.00006369000,3.20000,3.20000
-0.00006368000,3.20000,3.20000
-0.00006367000,3.24000,3.28000
-0.00006366000,3.20000,3.24000
-0.00006365000,3.20000,3.28000
-0.00006364000,3.20000,3.24000
-0.00006363000,3.16000,3.24000
-0.00006362000,3.20000,3.20000
-0.00006361000,3.20000,3.20000
-0.00006360000,3.20000,3.24000
-0.00006359000,3.20000,3.28000
-0.00006358000,3.20000,3.28000
-0.00006357000,3.20000,3.28000
-0.00006356000,3.16000,3.24000
-0.00006355000,3.20000,3.24000
-0.00006354000,3.20000,3.20000
-0.00006353000,3.20000,3.20000
-0.00006352000,3.20000,3.20000
-0.00006351000,3.20000,3.24000
-0.00006350000,3.20000,3.24000
-0.00006349000,3.20000,3.24000
-0.00006348000,3.16000,3.28000
-0.00006347000,3.16000,3.28000
-0.00006346000,3.16000,3.20000
-0.00006345000,3.20000,3.20000
-0.00006344000,3.20000,3.24000
-0.00006343000,3.24000,3.24000
-0.00006342000,3.20000,3.24000
-0.00006341000,3.16000,3.28000
-0.00006340000,3.20000,3.24000
-0.00006339000,3.20000,3.24000
-0.00006338000,3.20000,3.24000
-0.00006337000,3.20000,3.24000
-0.00006336000,3.20000,3.20000
-0.00006335000,3.20000,3.20000
-0.00006334000,3.20000,3.20000
-0.00006333000,3.24000,3.20000
-0.00006332000,3.20000,3.28000
-0.00006331000,3.20000,3.24000
-0.00006330000,3.20000,3.28000
-0.00006329000,3.16000,3.24000
-0.00006328000,3.16000,3.20000
-0.00006327000,3.16000,3.20000
